 TICKER,DATE,DATE FORMATTED,SHARES MLN,SHARES
NVDA,2012,2012-12-31,2515.3800,2515380000
NVDA,2011,2011-12-31,2454.2400,2454240000
NVDA,2010,2010-12-31,2330.5920,2330592000
NVDA,2009,2009-12-31,2297.5240,2297524000
NVDA,2008,2008-12-31,2258.1440,2258144000
NVDA,2007,2007-12-31,2451.9400,2451940000
NVDA,2006,2006-12-31,2313.5340,2313534000
NVDA,2005,2005-12-31,2201.1034,2201103400
NVDA,2004,2004-12-31,2073.3913,2073391299.9999998
NVDA,2003,2003-12-31,2076.7496,2076749600
NVDA,2002,2002-12-31,1839.9760,1839976000
NVDA,2001,2001-12-31,2040.8876,2040887600
NVDA,2000,2000-12-31,1929.4753,1929475300
NVDA,1999,1999-12-31,1695.1185,1695118500
CVX,2022,2022-12-31,1940.0020,1940002000
CVX,2021,2021-12-31,1922.0820,1922082000
CVX,2020,2020-12-31,1910.7240,1910724000
CVX,2019,2019-12-31,1872.3170,1872317000
CVX,2018,2018-12-31,1906.8230,1906823000
CVX,2017,2017-12-31,1906.1460,1906146000
CVX,2016,2016-12-31,1890.0440,1890044000
CVX,2015,2015-12-31,1874.3130,1874313000
CVX,2014,2014-12-31,1883.6500,1883650000
CVX,2013,2013-12-31,1919.3240,1919324000
CVX,2012,2012-12-31,1952.2980,1952298000
CVX,2011,2011-12-31,1987.1460,1987146000
CVX,2010,2010-12-31,2006.5410,2006541000
CVX,2009,2009-12-31,1994.9830,1994983000
CVX,2008,2008-12-31,1991.1280,1991128000
CVX,2007,2007-12-31,2066.4200,2066420000
CVX,2006,2006-12-31,2145.5180,2145518000
CVX,2005,2005-12-31,2213.9800,2213980000
CVX,2004,2004-12-31,2090.6090,2090609000
CVX,2003,2003-12-31,2125.4360,2125436000.0000002
CVX,2002,2002-12-31,2124.0340,2124034000
CVX,2001,2001-12-31,2120.1600,2120159999.9999998
CVX,2000,2000-12-31,1284.0500,1284050000
CVX,1999,1999-12-31,1312.2640,1312264000
CVX,1998,1998-12-31,1309.3540,1309354000
CVX,1997,1997-12-31,1307.3560,1307356000
CVX,1996,1996-12-31,1306.6460,1306646000
CVX,1995,1995-12-31,1305.1260,1305126000
CVX,1994,1994-12-31,1303.7900,1303790000
CVX,1993,1993-12-31,1302.2620,1302262000
MA,2022,2022-12-31,968.0000,968000000
MA,2021,2021-12-31,986.0000,986000000
MA,2020,2020-12-31,1001.0000,1001000000
